,tree_id,tree_dbh,health,steward,postcode,borough,cncldist,nta_name,nta,latitude,longitude
31549,221478,23,Good,,11432,Queens,24,Jamaica Estates-Holliswood,QN06,40.72302373,-73.78836834
31550,196460,14,Good,,10314,Staten Island,50,New Springville-Bloomfield-Travis,SI05,40.60004401,-74.16407938
31551,211368,21,Good,,11105,Queens,22,Steinway,QN72,40.77697217,-73.91398738
31584,213027,15,Good,,11375,Queens,29,Forest Hills,QN17,40.70902701,-73.84930164
31586,212109,11,Good,,10032,Manhattan,7,Washington Heights South,MN36,40.83567627,-73.94369696
31587,233551,32,Good,,10461,Bronx,13,Pelham Parkway,BX49,40.85716608,-73.85290178
31588,227803,3,Good,1or2,11418,Queens,32,Richmond Hill,QN54,40.69204684,-73.84394567
31589,229814,32,Good,,10466,Bronx,12,Woodlawn-Wakefield,BX62,40.89255301,-73.84441331
31590,233858,20,Fair,,11229,Brooklyn,46,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,40.60087154,-73.93162096
31591,211366,26,Fair,,11105,Queens,22,Steinway,QN72,40.77653835,-73.91451736
31593,212827,4,Good,3or4,10024,Manhattan,6,Upper West Side,MN12,40.78868152,-73.97812414
31594,220808,14,Good,1or2,10463,Bronx,11,Van Cortlandt Village,BX28,40.88230384,-73.89065942
31595,231704,20,Good,,10309,Staten Island,51,Rossville-Woodrow,SI32,40.52917643,-74.20717526
31597,217725,6,Good,,11222,Brooklyn,33,Greenpoint,BK76,40.72182592,-73.9426588
31599,212409,6,Good,,10032,Manhattan,7,Hamilton Heights,MN04,40.83166787,-73.94662486
31613,233608,10,Good,,10461,Bronx,13,Pelham Parkway,BX49,40.85651233,-73.85372995
31614,212609,17,Good,,10031,Manhattan,7,Hamilton Heights,MN04,40.82979941,-73.94798633
31616,218700,12,Good,,11211,Brooklyn,34,East Williamsburg,BK90,40.71879995,-73.94344791
31617,227792,14,Good,1or2,11214,Brooklyn,47,Gravesend,BK26,40.58806648,-73.98780875
31618,214256,26,Good,,11102,Queens,22,Steinway,QN72,40.77297202,-73.91887295
31619,212659,16,Good,,10031,Manhattan,7,Hamilton Heights,MN04,40.82935788,-73.9482659
31620,212670,13,Good,,10031,Manhattan,7,Hamilton Heights,MN04,40.82908266,-73.94850722
31621,207229,26,Good,,11368,Queens,21,Corona,QN25,40.74051585,-73.8561628
31622,187684,32,Good,,11105,Queens,22,Steinway,QN72,40.77887563,-73.91887557
31623,231986,14,Good,,10026,Manhattan,9,Central Harlem South,MN11,40.80476377,-73.95595876
31624,219829,25,Good,,11418,Queens,29,Richmond Hill,QN54,40.70156702,-73.83042064
31630,227328,2,Good,1or2,10463,Bronx,11,Spuyten Duyvil-Kingsbridge,BX29,40.88415541,-73.90018903
31631,235252,31,Good,,11218,Brooklyn,40,Flatbush,BK42,40.64198006,-73.96845194
31632,211369,16,Good,,11105,Queens,22,Steinway,QN72,40.77705362,-73.91388787
31633,211370,18,Good,,11105,Queens,22,Steinway,QN72,40.77719843,-73.91371096
31635,238442,20,Good,1or2,11217,Brooklyn,33,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,40.68575371,-73.98608684
31639,207495,11,Good,,11364,Queens,23,Oakland Gardens,QN42,40.74051379,-73.75399204
31640,219863,21,Good,,11418,Queens,29,Richmond Hill,QN54,40.70223445,-73.82776841
31642,206659,6,Good,,11103,Queens,26,Astoria,QN70,40.75644528,-73.92001755
31643,189779,18,Good,,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.67116916,-73.97789252
31644,189047,6,Good,1or2,11215,Brooklyn,39,Park Slope-Gowanus,BK37,40.67019931,-73.97431179
31647,206995,12,Good,,11355,Queens,20,Queensboro Hill,QN62,40.74670172,-73.83344234
31649,182684,34,Good,,11368,Queens,21,Corona,QN25,40.74468338,-73.86686561
31650,193280,33,Good,,10314,Staten Island,50,New Springville-Bloomfield-Travis,SI05,40.59071433,-74.18768756
31692,212613,13,Good,,10031,Manhattan,7,Hamilton Heights,MN04,40.82969642,-73.94806296
31693,233556,20,Good,,10461,Bronx,13,Pelham Parkway,BX49,40.85711374,-73.85350844
31694,219984,4,Good,,11211,Brooklyn,34,East Williamsburg,BK90,40.71653457,-73.94021994
31695,212662,17,Good,,10031,Manhattan,7,Hamilton Heights,MN04,40.82932623,-73.94832844
31696,231984,15,Good,,10026,Manhattan,9,Central Harlem South,MN11,40.8046148,-73.95560488
31697,228372,38,Good,,11364,Queens,23,Oakland Gardens,QN42,40.74430654,-73.75444996
31698,230163,5,Good,1or2,10301,Staten Island,49,New Brighton-Silver Lake,SI35,40.63268723,-74.09645097
31699,234790,28,Good,,11218,Brooklyn,39,Kensington-Ocean Parkway,BK41,40.63824137,-73.97346934
31700,227757,7,Good,1or2,10014,Manhattan,3,SoHo-TriBeCa-Civic Center-Little Italy,MN24,40.72767744,-74.00287906
31701,198926,3,Good,3or4,11205,Brooklyn,33,Clinton Hill,BK69,40.69151805,-73.95883764
31702,198928,9,Good,3or4,11205,Brooklyn,33,Clinton Hill,BK69,40.69136879,-73.95880795
31703,229676,19,Good,,11230,Brooklyn,48,Midwood,BK43,40.61632637,-73.95475562
31718,219768,40,Good,,11372,Queens,21,Jackson Heights,QN28,40.7507731,-73.87286359
31719,211178,17,Good,,11105,Queens,22,Steinway,QN72,40.77717359,-73.91246222
31720,230162,5,Good,,10301,Staten Island,49,New Brighton-Silver Lake,SI35,40.63270677,-74.09655225
31721,239288,23,Good,,11226,Brooklyn,40,Flatbush,BK42,40.65112409,-73.97126897
31722,212831,9,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78836534,-73.97835689
31723,231566,31,Good,,11369,Queens,21,East Elmhurst,QN27,40.76836468,-73.87296268
31770,234566,3,Fair,,10040,Manhattan,10,Marble Hill-Inwood,MN01,40.86086489,-73.92441603
31771,222016,13,Good,,10024,Manhattan,6,Upper West Side,MN12,40.78217119,-73.97827622
31772,212405,12,Good,,10032,Manhattan,7,Hamilton Heights,MN04,40.8317373,-73.94653488
31797,212116,14,Good,,10032,Manhattan,7,Washington Heights South,MN36,40.83551863,-73.94377479
31849,210143,8,Fair,,10457,Bronx,15,Mount Hope,BX41,40.84624204,-73.90389452
31850,227700,37,Good,,11230,Brooklyn,44,Midwood,BK43,40.61976874,-73.96219735
31851,237560,8,Good,1or2,10024,Manhattan,6,Upper West Side,MN12,40.78462002,-73.9815984
