iso2_code,python,javascript,react,typescript,hacktoberfest,java,nodejs,docker,css,html,reactjs,golang,machine-learning,php,nextjs,api,tailwindcss,rust,android,linux,go,kubernetes,python3,vue,blog,deep-learning,cpp,mongodb,dotfiles,website,documentation,ai,cli,html5,game,mysql,postgresql,blockchain,csharp,database
CH,0.11920203681778653,0.051706253994530764,0.04340810745680668,0.04811248598640026,0.06274949446266358,0.05068994059281456,0.020085286506082163,0.05089948974780759,0.0,0.0,0.0,0.015087539159498339,0.042339406766342215,0.02573263623314439,0.0,0.020818708548557777,0.0,0.02565929402889683,0.0,0.023123749253481134,0.007889525685487673,0.020609159393564745,0.0033842188531374748,0.0,0.0,0.01812600190689731,0.003457561057385036,0.0,0.005427323114319541,0.0,0.016701067652944688,0.003625200381379462,0.008340056368722693,0.0,0.0,0.0,0.0,0.018796559202875013,0.0,0.0
CL,0.06032448912925121,0.0431200319407644,0.007912598453776632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN,0.03026503255160312,0.02420503821950301,0.021485610910319072,0.02002010939823208,0.0,0.03384435015198512,0.010330329864009224,0.009124930607047606,0.005978469744672757,0.00662290219766995,0.0004775011549316552,0.017987817897364426,0.008414502059466363,0.007515790536160037,0.0,0.0026184921057024507,0.0,0.0063957979898366015,0.015085930797271644,0.008985174171457853,0.012733364131510806,0.004103404233843574,0.007647782725328137,0.03135979129705618,0.026608072487004593,0.012094754863329853,0.008680427499407976,0.002639843783361996,0.0,0.002267159955122656,0.0011529905936154602,0.001335450384524304,0.0023292739264958793,0.001360684185394676,0.0029737063794930724,0.012814888718938162,0.0,0.002812598266243774,0.004163577143611384,0.0057668940296827145
CO,0.0518308710719152,0.06887894686021437,0.054974411793105665,0.03291598270516163,0.0036477946935316017,0.024043258553542116,0.03257266085165277,0.005021082107567028,0.0394176403059856,0.030759492312809125,0.02067441286598646,0.0,0.0,0.0,0.0072741317712189,0.0011265248318259359,0.014387331423605524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007445792697973328,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.11656391688684477,0.0716965130312816,0.06830413934827283,0.058648921942786314,0.08710898000456666,0.05435952637244349,0.00676843787715693,0.018021985190984115,0.0,0.0,0.0,0.0,0.0,0.050722510356525426,0.0,0.017467462569723063,0.0,0.005251655413119353,0.0,0.022278761783605702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016961868415043874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0.03433064760046483,0.021042410018852434,0.015126293120112069,0.01680402336883231,0.02440639845723863,0.0203652915077627,0.010230117958479161,0.016093930152752477,0.00610600571713161,0.006560260704840004,0.00442259017444756,0.010831622059850226,0.009770177676806957,0.010899845587415942,0.004013817538449643,0.009093627695113604,0.003421409907420673,0.010439905305743739,0.008637098589819685,0.010924292351460325,0.007344831271845742,0.009461466214572091,0.007581339500740226,0.004609067816460518,0.00395923871639707,0.0055079127921388304,0.006499428059427241,0.0031945666782646665,0.006588118645262672,0.0064988595300308595,0.007647288910720418,0.003686913135530586,0.008003756842251285,0.002033061121458346,0.005712014845439598,0.003348638144683909,0.004353798117485463,0.0034879278467972465,0.004614184581027947,0.005791608960932934
DK,0.13463026417596993,0.028407206808886924,0.024649054935337682,0.056998636748830184,0.10353339965366051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EG,0.04245020585289863,0.0465036799186126,0.027881543181420783,0.022023875757045893,0.0,0.020879365432609008,0.02322402200003179,0.005802031505825875,0.030186459807022843,0.025536886613997997,0.022858414535281122,0.0,0.006644518272425249,0.0,0.006358390691316028,0.014640194566755154,0.009322990351142126,0.0,0.0016611295681063123,0.0,0.0,0.0,0.0,0.0,0.0,0.0008504347549635187,0.006119951040391677,0.012144526220413614,0.0,0.0,0.0,0.002233384730324755,0.0,0.014568662671477849,0.0,0.0,0.000898122685148389,0.0,0.0008901746967842439,0.0
ES,0.05878979573738508,0.04554080818232877,0.03916462206982175,0.03094090868781223,0.03439947973632091,0.028304117768778267,0.02260486564781696,0.02493127198557451,0.01778947057258565,0.016293712495196427,0.013464778740134204,0.011729581128617458,0.014768393981495168,0.015267965355168642,0.00855774631233557,0.01527387744243105,0.007670933222974371,0.009175559431257205,0.014691536847083863,0.013520943569127081,0.007907416713470691,0.013467734783765409,0.012028141535369062,0.004853823642436962,0.005356351059741642,0.008182328771172663,0.008043394720506076,0.009225812172987673,0.008359691389044903,0.0098377132046469,0.010337284578320376,0.006399834461556652,0.005820449909840669,0.007576339826775844,0.007602944219456679,0.006565372904904076,0.004564131366578971,0.007384196990747584,0.0019096041857577818,0.0044281533595435865
EU,0.05191073235607763,0.03457367522869326,0.027903974800100026,0.026561889772859087,0.03223795309383087,0.024265519602654977,0.014988065143974424,0.01894293759213107,0.008827881141508979,0.008937242996780231,0.006067295062632541,0.01044039653052946,0.010791361145563146,0.014040872506269432,0.005650209995353265,0.011639487500145854,0.004080249637881848,0.010705335920496219,0.009055070100262857,0.010855193692886744,0.007486482485744636,0.009090075045569346,0.008502541061601612,0.00447674356086319,0.003437348354801889,0.005507444728220919,0.007280113461780892,0.0036576735987897896,0.0069938965560396,0.00706619435157457,0.008038782733913683,0.004242004515866735,0.007562440929154795,0.0019826984053989065,0.006738795157237409,0.0028676600292256976,0.004297600605471159,0.0037366063185985394,0.00447994662775398,0.005232438556597391
